T_C,eta_th_%,W_net_kW_per_kg
545,46.00022077659115,1283.7311891252925
546,46.020182908260274,1285.6693354725712
547,46.04032737163741,1287.6207611186485
548,46.06044707280459,1289.5723490420903
549,46.08051391201966,1291.5223078447116
550,46.10132407207068,1293.5214051440594
551,46.121316041655135,1295.470118725801
552,46.141306845003854,1297.4204864405153
553,46.161084618732104,1299.358944037816
554,46.18100050949281,1301.307959252095
555,46.20088700973509,1303.256815930467
556,46.22151437006584,1305.2550476538715
557,46.24134181348549,1307.2036285686127
558,46.261140027670095,1309.1520514906422
559,46.280910580327784,1311.100414402836
560,46.30042364693021,1313.033851392056
561,46.320155930701254,1314.9831695503121
562,46.33987160965138,1316.9331391334433
563,46.36030170055893,1318.931233133533
564,46.379928104420614,1320.8789248125279
565,46.39952972304184,1322.8267246556218
